DATE,TNWBSHNO,TFAABSHNO,TLBSHNO
1997-01-01,31301.67,24581.30,5452.47
1997-04-01,32747.83,25989.46,5552.91
1997-07-01,33853.95,27041.02,5662.79
1997-10-01,34319.65,27394.49,5763.19
1998-01-01,36122.56,28993.99,5819.28
1998-04-01,36668.38,29435.39,5961.54
1998-07-01,35731.28,28319.98,6064.97
1998-10-01,38119.03,30544.56,6203.44
1999-01-01,38765.65,31023.56,6286.46
1999-04-01,39980.36,32123.56,6433.88
1999-07-01,39741.67,31702.67,6594.42
1999-10-01,42884.42,34678.33,6761.13
2000-01-01,44220.24,35685.03,6886.62
2000-04-01,43781.30,34926.30,7034.50
2000-07-01,44413.80,35214.58,7219.80
2000-10-01,43516.15,33959.36,7358.50
2001-01-01,42602.20,32643.54,7404.21
2001-04-01,43842.20,33700.27,7605.57
2001-07-01,42407.22,32089.97,7853.49
2001-10-01,43956.76,33510.29,7986.05
2002-01-01,44616.89,33963.80,8116.13
2002-04-01,43581.67,32708.66,8305.34
2002-07-01,42325.12,31201.15,8499.68
2002-10-01,43460.52,32190.92,8766.07
2003-01-01,43760.82,32277.87,8959.24
2003-04-01,45515.56,33997.39,9336.72
2003-07-01,46486.61,34721.81,9592.01
2003-10-01,48797.43,36706.95,9842.89
2004-01-01,51085.25,38492.89,10046.25
2004-04-01,52186.34,39102.00,10367.70
2004-07-01,53131.96,39528.46,10634.68
2004-10-01,55782.25,41746.03,11029.60
2005-01-01,56868.71,42148.90,11231.36
2005-04-01,58395.78,43053.84,11561.57
2005-07-01,60125.54,44237.93,11907.66
2005-10-01,61893.69,45409.79,12200.64
2006-01-01,63970.27,47246.65,12560.89
2006-04-01,63836.55,47294.26,12903.70
2006-07-01,64297.92,48016.90,13233.02
2006-10-01,66199.53,50105.41,13498.14
2007-01-01,67244.79,51352.98,13680.28
2007-04-01,67714.34,52564.65,13977.37
2007-07-01,67678.68,53244.61,14226.30
2007-10-01,66505.44,52854.32,14432.25
2008-01-01,64089.14,51455.09,14567.29
2008-04-01,62560.57,50887.58,14494.49
2008-07-01,60425.08,49630.39,14637.00
2008-10-01,56205.33,46133.58,14342.80
2009-01-01,54805.84,45209.54,14170.10
2009-04-01,55737.04,46409.50,14146.28
2009-07-01,57143.02,47981.39,14151.59
2009-10-01,57968.65,48683.05,14139.93
2010-01-01,58939.70,49557.43,14009.41
2010-04-01,57957.89,48483.56,13957.75
2010-07-01,59598.05,50362.20,13915.12
2010-10-01,62026.15,52820.05,13874.92
2011-01-01,63417.72,54198.50,13830.42
2011-04-01,63706.96,54424.64,13753.81
2011-07-01,61560.72,52080.43,13683.04
2011-10-01,63279.73,53662.17,13700.35
2012-01-01,65744.35,55878.13,13684.73
2012-04-01,65884.99,55573.25,13710.69
2012-07-01,67903.76,57106.63,13687.12
2012-10-01,69117.68,57983.20,13775.50
2013-01-01,72071.93,60332.39,13725.51
2013-04-01,73583.36,61207.88,13739.49
2013-07-01,76070.56,63181.66,13854.94
2013-10-01,78818.02,65483.58,13920.89
2014-01-01,80179.32,66533.17,13909.39
2014-04-01,81730.95,67957.67,14076.77
2014-07-01,82043.27,68012.75,14201.20
2014-10-01,84014.30,69556.18,14287.80
2015-01-01,85823.76,70826.87,14274.85
2015-04-01,86387.45,71147.08,14419.31
2015-07-01,85143.16,69549.06,14502.87
2015-10-01,87022.07,71160.47,14651.52
2016-01-01,87576.09,71380.75,14652.62
2016-04-01,88273.56,71883.15,14826.32
2016-07-01,90558.01,73757.16,14965.53
2016-10-01,92488.51,75334.14,15116.01
2017-01-01,94835.40,77115.07,15151.58
